second,Volt
+4.42000E-03,-107.59999E-03
+4.44000E-03,-95.09999E-03
+4.46000E-03,-101.34999E-03
+4.48000E-03,-95.09999E-03
+4.50000E-03,-88.84999E-03
+4.52000E-03,-95.09999E-03
+4.54000E-03,-88.84999E-03
+4.56000E-03,-82.59999E-03
+4.58000E-03,-82.59999E-03
+4.60000E-03,-76.34999E-03
+4.62000E-03,-82.59999E-03
+4.64000E-03,-76.34999E-03
+4.66000E-03,-76.34999E-03
+4.68000E-03,-70.09999E-03
+4.70000E-03,-76.34999E-03
+4.72000E-03,-70.09999E-03
+4.74000E-03,-63.84999E-03
+4.76000E-03,-70.09999E-03
+4.78000E-03,-63.84999E-03
+4.80000E-03,-63.84999E-03
+4.82000E-03,-57.59999E-03
+4.84000E-03,-57.59999E-03
+4.86000E-03,-57.59999E-03
+4.88000E-03,-57.59999E-03
+4.90000E-03,-51.34999E-03
+4.92000E-03,-57.59999E-03
+4.94000E-03,-51.34999E-03
+4.96000E-03,-45.09999E-03
+4.98000E-03,-51.34999E-03
+5.00000E-03,-45.09999E-03
+5.02000E-03,-45.09999E-03
+5.04000E-03,-45.09999E-03
+5.06000E-03,-38.84999E-03
+5.08000E-03,-32.59999E-03
+5.10000E-03,-32.59999E-03
+5.12000E-03,-32.59999E-03
+5.14000E-03,-32.59999E-03
+5.16000E-03,-38.84999E-03
+5.18000E-03,-26.34999E-03
+5.20000E-03,-26.34999E-03
+5.22000E-03,-26.34999E-03
+5.24000E-03,-26.34999E-03
+5.26000E-03,-26.34999E-03
+5.28000E-03,-20.09999E-03
+5.30000E-03,-26.34999E-03
+5.32000E-03,-26.34999E-03
+5.34000E-03,-26.34999E-03
+5.36000E-03,-20.09999E-03
+5.38000E-03,-20.09999E-03
+5.40000E-03,-20.09999E-03
+5.42000E-03,-20.09999E-03
+5.44000E-03,-20.09999E-03
+5.46000E-03,-13.84999E-03
+5.48000E-03,-13.84999E-03
+5.50000E-03,-13.84999E-03
+5.52000E-03,-13.84999E-03
+5.54000E-03,-13.84999E-03
+5.56000E-03,-20.09999E-03
+5.58000E-03,-7.59999E-03
